# 导出自：评论切角
# 导出时间：2026/6/4 16:06:26
# 第一列：评论切角
# 第二列：语料
# 可直接用于“导入子关键词”功能
评论切角,语料,评论示例,评论补充
已购，品牌新晋用户，奶量补充,"品牌新晋用户-奶量补充-喝奶状态与转奶-补充：

新用户刚试源悦后的口感和转奶观察。用愿意喝、喝得下去、少拉扯来表达喝奶状态，少量保留喝了几口；别写成人化接纳判断，也别只剩空泛反应。“喝得挺痛快”可以低频写，但别把加量、加奶都写成痛快。妈妈反应可以写敢慢慢加或心里踏实点，同批别连续用同一种收尾。

示例：
- 刚开始肯喝，我没急着加
- 我家有点挑食，第一天没拉扯太久
- 有点挑食，但这个味道还行
- 换奶时喝了几口，我才敢慢慢加
- 第一顿能入口，后面慢慢转
- 肯喝就先继续，不硬加
- 早晚奶没掉，我先慢慢加
- 旧奶里加一点，喝得痛快
- 喂起来少拉扯，我就继续转

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，奶量补充,"品牌新晋用户-奶量补充-奶量变化：

可以带一点奶量变化和段数，但别每条都写成“从X到Y”，也别写成突然变多。多写按顿加、少拉扯、家人帮喂、奶量没掉这些小观察，杯底和瓶底别刷屏，也别反复套“多冲一点点也愿意喝/愿意补一点”；饭后、午后、辅食后这些时间点只能偶尔带，不要缩成缺主语的奶量短句，也别把补奶和痛快固定绑在一起。

示例：
- 最近喝奶没少，先这样喝
- 转奶几天，我没敢猛加
- 一开始没猛加，后面看奶量
- 现在喂奶少拉扯一点
- 每顿差不多，我就先这样
- 喝奶没咋拉扯，我就不急着加
- 奶量没飞起来，就是愿意喝点
- 这几天愿意喝，我才敢慢慢加
- 前面奶量少一点，后面慢慢看
- 换个人喂那次也愿意喝

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，奶量补充,"品牌新晋用户-奶量补充-喝奶状态与转奶：

像刚转奶的新用户随手反馈，重点放在第一口、愿意喝、少拉扯、家人帮喂。饭后喝得下去不是默认入口；家人帮喂可以偶尔写，但别具体滚成家里人轮番喂的小剧场。不要写后台式判断、接类表达或一整顿试法，统一换成愿意喝、喝得下去、奶量没掉、少拉扯。

示例：
- 朋友推荐的，第一顿没费太大劲
- 我家嘴挑，这次也愿意喝
- 担心不喝，第一口先看愿不愿意
- 这两天换过来，奶瓶没剩太多
- 喝到一半还愿意喝，我才继续转
- 旧奶里加一点新的，喝奶没怎么拖
- 旧奶里掺一勺，娃喝得痛快
- 家里人喂那次也没拉扯
- 第一口进嘴了，我就没那么慌

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，过敏相关,"品牌新晋用户-过敏相关：

像刚开始换奶、心里比较谨慎的轻反馈，语气像评论区简单补一句。不要提竞品；特殊配方别写成正在试的产品。当前不拦过敏改善或皮肤结果，可以从没翻车、脸蛋安分、湿疹消停、先继续喂着这些小反馈切入。脸蛋别刷屏，也别硬凑护理场景；过敏相关要落到湿疹、脸蛋、没翻车或反复有没有消停这些对象上，不串到拍嗝吐奶。

示例：
- 我们是从之前喝的奶粉转源悦，一开始没一顿全换
- 刚开始奶量少一点，看娃愿不愿意喝
- 刚开始没敢急着全换，先看奶量和肚肚
- 这次先观察着，不急着全换
- 目前没翻车，就先继续喂着
- 脸蛋这几天安分点，我先不换
- 不敢说一定行，至少这几天没反复
- 我家慢慢加的，前几顿多看着点
- 没急着全换，一步一步来

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，过敏相关,"品牌新晋用户-过敏相关-补充：

像刚开始换奶、心里比较谨慎的轻反馈，语气像评论区简单补一句。不要提竞品；特殊配方别写成正在试的产品。可以带一点暂时没翻车、脸蛋不闹、湿疹消停些这类评论区话，别全部缩成少量试，也别都从脸蛋开头。过敏相关要落到湿疹、脸蛋、没翻车或反复有没有消停这些对象上，不串到拍嗝吐奶，也别写改水粉比例的喂法。

示例：
- 上一罐还剩点时，我没急着全换
- 刚开始没敢急，先看喝奶和肚肚
- 不敢说一定行，先一顿一顿看
- 本来只是试试看，现在先继续喂着
- 暂时没翻车，这罐先喂着看
- 湿疹消停些了，我再看看
- 脸上没再闹，我心里松一点
- 敏宝转奶那几天，我先盯湿疹和肚肚
- 转奶前查了一堆资料，后来一点点加

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育：

像新晋用户轻轻聊刚换后的日常状态，主要从愿不愿意喝、奶量会不会掉延伸到偏瘦、饭奶有没有掉、体重记录和长势。语气别太像结论，更像评论区随口反馈，不要一上来就说长肉长个，也别只停在“刚换先看娃喝不喝/每顿喝多少”，也别把饭奶和奶量压成半截问法或提醒式口吻。

示例：
- 换过来先看饭奶掉没掉
- 娃偏瘦，我先盯奶量掉不掉
- 愿意喝，奶量没掉我先不焦虑
- 这几天饭奶没掉，脸颊还有点肉
- 换完那几顿愿意喝一点
- 我家刚换这款，小孩喝着还可以
- 先看这周奶量掉不掉
- 不敢夸太早，肯喝就先这么转
- 刚开始我就盯饭奶和体重记录
- 体重先不急，饭奶没掉就行
- 娃偏瘦，先看奶量掉没掉
- 饭奶没掉，我先记一笔

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-照片脸颊：

初期可以从照片、脸颊、小胳膊这些肉眼轻变化切入，带一点不确定。语气轻一点，别写成检查结论、涨了几斤、“肉眼可见长肉快”或成人化身材比例评价。

示例：
- 翻出前阵照片，小脸没那么瘦
- 最近照片看着小脸有肉
- 照片里脸颊圆了些
- 小胳膊看着没那么细
- 不敢夸太早，照片先放着看
- 前阵照片一对比，脸没那么尖了
- 奶奶说脸颊有点鼓
- 小脸没继续瘦，我就先放心

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-抱着手感：

初期可以从抱起来、家里人随口说、出门抱一会儿这些手感变化切入。语气轻一点，别停在先观察，也别写成检查夸奖。

示例：
- 抱着没那么轻飘飘
- 每顿差不多，抱着也有点分量
- 先不夸太早，看状态
- 抱久一点会有点累
- 抱着没那么轻
- 出门抱一会儿，感觉有点分量
- 最近抱着手感先记一下
- 不是突然长很多，就是没那么轻飘

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-吃奶状态：

从奶量、胃口、辅食和源悦喝奶状态聊到日常状态。表达生活化一点，可以写吃得下、喝得动、饭奶有没有掉，但要轻轻落到体重记录、长势、小脸小胳膊或精神头；不写检查记录或大数字。别只停在“米糊吃完，奶也照常喝/辅食吃得不错，奶量也跟上了”，饭后补一点只能偶尔写，别和奶量补充切角撞成同一句。

示例：
- 七八个月辅食加上来后，我会看饭奶和体重
- 现在吃奶少拉扯，状态还行
- 一天几顿愿意喝，算爱喝了
- 现在给奶瓶也喝，脸颊没再尖下去
- 辅食后还愿意喝点奶，长势没掉
- 饭奶状态还行，我先看体重记录
- 醒来愿意喝，我就先看着
- 喝奶后还能玩一会儿
- 胃口没掉，先这么吃着
- 胃口还在，家里人也看出来点

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-吃奶状态-补充：

从奶量、胃口、辅食和源悦喝奶状态聊到日常状态。表达生活化一点，少写体重数字，多写家里人观察、辅食和奶量有没有掉，再轻轻带到长势、体重记录、小脸或小胳膊。别停在“辅食吃得不错，奶量也跟上了”就结束，也别把奶量和长肉写成强因果，更别写“小碗收了再补奶”这种硬凑动作。

示例：
- 前阵子喝奶也没掉太多
- 不知道是口味对路了还是辅食量调合适了
- 奶瓶递过去也喝，辅食也能吃点，小脸没瘦
- 白天吃喝跟得上，我就安心点
- 辅食后还愿意喝点奶，体重我慢慢看
- 奶瓶给过去也愿意喝
- 照片里脸颊有点肉
- 先看饭奶，体重慢慢来

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-曲线记录：

从日常记录、生长曲线和阶段记录聊身高体重，语气更像“先看记录再说”。可以承认每个宝宝情况不同，表达要克制、生活化，别写中上游、标准线、追上来了，也别编“体重栏”这种工具细节。

示例：
- 刚喝没多久，还想看看后面长势
- 希望身高体重慢慢跟上来
- 喝奶还在，曲线也没掉
- 我们一直喝，体重记录没掉
- 这阵子照片看着小脸没那么瘦
- 曲线没往下掉，我就先放心
- 称完多一点点，先记着
- 体重这事我不敢急，慢慢看
- 儿保记录没掉队就行

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，生长发育,"品牌新晋用户-生长发育-日常活力：

像妈妈从白天状态、活动量、奶量和辅食这些日常细节聊发育。可以轻轻带到营养和发育，整体保持生活观察，别写成“活力满满”“发育很好”，也别把出门或溜达和奶量硬绑成“回来奶也跟上”。状态要落到能玩一会儿、饭奶没掉、小脸没瘦这些小观察，不写平台感评价词。

示例：
- 饭奶状态还行，我就放心点
- 白天状态还行，奶也没怎么掉
- 每天能吃能睡，脸颊看着还行
- 白天能玩一会儿，辅食和奶都吃点
- 抱出去玩能玩一会儿，回来状态还行
- 白天玩一圈，晚上奶也没落下
- 醒来精神头还可以
- 白天玩过之后，饭奶也能跟上
- 吃睡没掉，我就少焦虑点

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，性价比,"品牌新晋用户-性价比：

语气像刚买后顺手反馈这单还行，可以从付款前犹豫、先开哪一罐、看评论和配料这些小细节切入。别围着便宜、值不值或宝宝爱喝打转，也别串到杯底剩余和喝奶状态，不写开罐试喝、到手试喝、试几顿不心疼；少写“活动价入”，别把配料、价格、小罐、付款挤在同一句里，也别写省略主语的付款口吻或别扭的试错肉疼句。

示例：
- 先开这一罐，心里没那么悬
- 下单前又看了两遍
- 付款前犹豫了下，最后还是下单
- 算下来没比旧款贵太多
- 看了几遍评论才下单
- 开这一罐，心里轻一点
- 先入一罐，压力没那么大
- 这单没太肉疼

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
已购，品牌新晋用户，性价比,"品牌新晋用户-性价比-买后感受：

像刚入手后的评论区反馈，语气自然一点。可以带下单前犹豫、先开一罐、配料功课这些细节，但一次只抓一个小点，别写成单纯卖点总结，也别串到杯底剩余和喝奶状态；价格口吻写“没那么肉疼、没太肉疼、压力没那么大”，不要省成省略主语的付款句，也别把先开罐和试喝硬拼，价格别写成成人接纳评价。

真人示例：
- 官方店下的单，心里踏实点
- 对比半天，最后下了单
- 配料看了半天，最后还是下手
- 最后还是下手，没太肉疼
- 先开这一罐，心态轻松点
- 到手价格没那么肉疼
- 对比完才下单，没太肉疼

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，痛点类提问,"高意向潜客-痛点类提问：

准备转奶前的评论区提问，问题可以散一点：宝宝喝不喝、转奶怎么过渡、便便观察、奶量、配方功课都能问。未购可以带一点自家情况，但问题要落到转奶前看什么、试过的反馈、要不要慢点。便便偏干、偏硬或拉得费劲时，问次数、状态、软硬变化或频率，别只问空泛指标，也别问成治疗或强功效。

示例：
- 第一次转这款，前两三顿怎么观察
- 你家宝宝噗噗咋样，一天几次呀
- 还在考虑中，饭奶会不会掉
- 肚肚容易闹的，转奶前看啥
- 我宝最近大便费劲，转奶前看软硬还是次数
- 三段想转源悦，过渡难不难
- 娃喝奶磨蹭，第一口一般会喝几口
- 大便偏干，转奶前看频率还是软硬
- 好几天才拉，要看硬不硬吗
- 转源悦前要先混几顿吗
- 准备转这款，前两三顿看喝奶还是便便
- 便便偏硬，转奶前主要看啥指标

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，痛点类提问,"高意向潜客-痛点类提问-肠胃吸收：

围绕肚肚状态、转奶过渡、前几顿状态来问别人经验。可以有犹豫感，但问题要落到肚肚闹不闹、拍嗝后要不要多抱会儿、前几顿怎么观察；别都抽成空泛反应题。肚肚入口就问肚肚，喝奶入口就问喝奶，具体不适状态别集中刷，转奶和头几天要说完整。

示例：
- 我家喝完老闹，试过的说说咋看
- 这种肠胃敏感的，前几顿盯啥呀
- 三段转这个，前几顿要盯哪点呀
- 选奶选得头大，消化这块想听听
- 前面几顿看喝奶还是嗯嗯
- 前两三顿拍嗝费不费劲
- 转奶前怕喝完哭，先看啥比较准
- 三段换过来的姐妹说说娃喝不喝
- 姐妹三段转过吗，放下后闹不闹咋看
- 刚开始看放下后能不能玩会儿吗
- 拍嗝要不要多抱会儿，求经验

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，痛点类提问,"高意向潜客-痛点类提问-便便上火：

围绕便便、上火、嗯嗯情况来问，问题可以很短，也可以带一点自家观察。购买前可以提大便偏干、好几天才拉、拉得费劲，但问点要落到次数、软硬、间隔或试过反馈；语气像买前问经验，不写治疗提问或喝后负面反馈。

示例：
- 转奶前便便看次数还是软硬呀
- 最近拉臭臭费劲，转奶前看软硬还是频率
- 便便偏干要看频率还是软硬
- 试过的说说臭臭频率咋样
- 拉得费劲先看软硬还是频率
- 好几天才拉，要看拉出来硬不硬吗
- 这两天臭臭干，要盯软硬还是间隔

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，痛点类提问,"高意向潜客-痛点类提问-便便上火-补充：

围绕便便、上火、嗯嗯情况来问，问题可以很短，也可以带一点自家观察。购买前可以提大便偏干、好几天才拉、拉得费劲，但问点要落到次数、软硬、状态或试过反馈；语气像买前问经验，不写治疗提问或喝后负面反馈。

示例：
- 两三天拉一次还偏干，先看频率吗
- 便便次数要盯几天呀
- 试过的宝妈说说臭臭频率
- 转奶前主要看次数和软硬吗
- 拉臭臭费劲，先看软硬还是次数
- 隔天才拉，要不要看拉出来硬不硬

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，痛点类提问,"高意向潜客-痛点类提问-成长配方：

看完种草后补问体重记录、饭奶状态、配料表和标准。语气偏做功课，可以问奶量、曲线、配料表、新国标，不要把“成长配方”这种后台标题词写进正文，也不要问成长肉效果、明显增重或多久见效，别写“营养表有看看吗/有看看吗/喝多久能看到体重变化”。偏瘦问题问奶量、饭奶和体重记录，别串成问便便状态；不要把“饭奶能不能跟上/怎么安排”省成“饭奶好安排吗”。

示例：
- 偏瘦娃喝这个奶量能跟上吗
- 营养全面吗
- 营养全不全面啊
- 饭奶能跟上吗，想听反馈
- 偏瘦娃饭奶能跟上吗
- 饭奶怎么安排比较合适啊
- 体重这块你们会记录吗
- 配料表有姐妹看过吗
- 这款是不是新国标呀

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，冲泡类,"高意向潜客-冲泡类：

像冲泡前问细节问题，保持下单前咨询口吻，不写成已经遇到冲泡异常或质量不好，也别带“夜里冲奶/半夜冲奶”这种无关时间场景。摇开、挂壁这些默认在奶瓶或冲完状态里说，别发明别的杯子场景。
挂杯、挂壁、瓶底有粉没化开要分开说，别压成“挂杯底”，也别写“瓶壁留粉”；问挂壁要写“会不会挂壁”，别省成“挂壁不”。

示例：
- 这个奶粉好冲吗，会不会挂杯
- 奶瓶里摇几下能化开吗
- 温水冲会不会结块呀
- 奶瓶底会不会有粉没化开
- 温水冲会不会有小颗粒
- 有奶瓶推荐吗
- 冲泡起来麻烦吗，新手想先问下
- 第一次买，先问下好不好冲

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，冲泡类,"高意向潜客-冲泡类-水温粉质：

像冲奶前问水温、粉质和溶解状态，别只问“好不好冲”，可以带泡沫、摇多久、粉质这些细节。不要写成已购后遇到冲泡异常，也别写“泡沫多不、冲完泡沫多不”这种断句或“夜里冲奶”这种无关时间场景。摇开、挂壁默认在奶瓶或冲完状态里说，别发明别的杯子场景。

示例：
- 冲这款水温一般多少合适
- 泡奶水温多少好
- 摇几下能不能冲开呀
- 这个好化开吗，要摇很久吗
- 这款难溶吗
- 温水能不能冲开呀
- 泡完会不会一层沫

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，冲泡类,"高意向潜客-冲泡类-水温粉质-补充：

像冲奶前问水温、粉质和溶解状态，别只问“好不好冲”，可以带泡沫、摇多久、粉质这些细节。不要写成已购后遇到冲泡异常，也别一条里连问多个操作点。摇开、挂壁默认在奶瓶或冲完状态里说，别发明别的杯子场景。
挂杯、挂壁、瓶底有粉没化开要分开说，别压成“挂杯底”，也别写“瓶壁留粉”；问挂壁要写“会不会挂壁”，别省成“挂壁不”。

示例：
- 奶瓶里摇完泡泡会不会很多
- 好不好冲开呀
- 会不会挂壁呀
- 容易溶开吗，我怕半天摇不开
- 不猛摇泡沫会少点吗
- 需要等泡沫消了再喝？
- 烫一点会不会破坏营养

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，冲泡类,"高意向潜客-冲泡类-新手操作：

像新手妈妈准备下单前问实际操作，关注一罐能冲几次、勺子比例、小罐、冲泡顺序和第一顿奶量。第一顿少一点只落在奶量或少喂，不要写成改冲泡量或改粉水比例；勺子比例只问按罐身说明或怕冲错，别写固定勺量，也别把小罐说成包装规格词。小罐用量和好不好冲分开问，一句话只问一个操作点；问摇开就默认奶瓶，不发明别的杯子。

示例：
- 第一顿奶量少一点行吗
- 奶瓶轻轻摇能冲开吗
- 有小罐吗，够冲几顿
- 第一次换，奶瓶能摇开吗
- 需要用摇匀器吗？
- 水温计有必要买吗
- 有小罐不

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，冲泡类,"高意向潜客-冲泡类-新手操作：

像新手妈妈准备下单前问实际操作，关注一罐能冲几次、勺子比例、小罐、混合冲泡和第一顿怎么试。勺子比例只问按罐身说明或怕冲错，别写固定勺量，也别写成已经冲错后的求助；小罐别说成小规格。一句话只问一个操作点，别把第一顿少喂和粉水比例拼在一起。

示例：
- 勺子比例按罐身说明来吗
- 第一次冲，粉水比例按罐身来吗
- 新勺子和老勺子比例一样吗，怕我冲错
- 转奶期可以按顿慢慢来吗
- 先放水还是先放粉？
- 罐身比例看着复杂吗
- 第一次买会不会冲错


注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，口感类,"高意向潜客-口感类：

像在问口感、腥不腥、挑嘴宝宝喝奶反应这些问题。别都只问味道轻重，可以换成闻一下、第一口、母乳转、前几口。别问成后台口吻，改成“前几口能喝不、愿意喝吗、会不会剩、不喝、不肯喝”；第一口和几口不要硬拼在一句里。小罐用量问题留给购买或冲泡切角，口感里不要只问小罐。

示例：
- 闻着腥不腥呀，嘴挑娃喝不喝
- 这款奶粉味道怎么样，嘴挑肯不肯喝
- 奶香味重不重，会不会太甜
- 前几口喝不喝，母乳娃会不会剩
- 喝惯甜口了，换这个会不会剩
- 嘴挑娃前几口喝不喝
- 奶香会不会太重，我怕她挑
- 转过去前几口会不会不肯喝

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，口感类,"高意向潜客-口感类-转奶入口：

像挑嘴宝宝家长在问转奶入口和喝奶状态，可以问母乳转奶、原来那款换过来、前几口愿不愿意喝、会不会剩。别连续只问清淡程度，也别写后台式判断、试味道或第一口和几口硬拼的句子；口感别问成会不会吐出来，改成推不推奶瓶、会不会皱眉、剩不剩。

示例：
- 纯母乳转奶粉，第一天大概喝几口
- 嘴挑宝宝能不能慢慢喝起来
- 从原来那款换过来，前几口咋样
- 有娃闻一下就不喝的吗，想听实话
- 前几口肯喝就行吗
- 母乳娃第一口会不会皱眉
- 之前那款偏甜，换这个会不会闹
- 奶瓶递过去会不会推开

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，口感类,"高意向潜客-口感类-转奶入口-补充：

像挑嘴宝宝家长在问转奶入口和喝奶状态，可以问母乳转奶、原来那款换过来、第一口愿不愿意喝、会不会剩。别连续只问清淡程度，也别把第一口和几口硬拼在一句里。

示例：
- 换了几款都不张嘴，这个第一口咋样
- 口感怎么样，我家嘴挑
- 味道怎么样，会不会太甜
- 清淡口宝宝会不会喝不惯
- 第一口肯喝吗，心里没底
- 母乳娃转这个，闻着还肯喝吗
- 挑嘴宝宝第一口会不会皱眉

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，口感类,"高意向潜客-口感类-对比试用：

像准备下单前在评论区做口味对比，可以问甜不甜、奶腥味、和之前奶粉差别这些细节；闻味道写闻一下、闻着，喝奶才写第一口，不要把闻和喝混成一个动作。小罐用量问题留给购买或冲泡切角，口感里别只问小罐。

示例：
- 这个会有腥味吗，怕娃闻一下不喝
- 口感呢，会不会比甜口奶粉淡一点
- 家里喝惯甜口奶粉了，换这款差别大不大？
- 现在三段想转源悦，已经转过的说下味道
- 之前喝的比较香甜，这款会偏淡吗？
- 奶腥味明显吗，想先问问
- 和甜口比会不会淡很多

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，口感类,"高意向潜客-口感类-对比试用-补充：

像准备下单前在评论区做口味对比，可以问甜不甜、奶腥味、和之前奶粉差别这些细节；小罐用量问题留给购买或冲泡切角，口感里别只问小罐，也别接“试味道、试一下味、买来试一下味”。

示例：
- 这款味道重不重啊？
- 这款甜不甜
- 我家也喝的这款 ，有人说偏甜，大家怎么说
- 和甜口比会淡很多吗
- 嘴挑娃闻着会不会嫌味重
- 有喝过的说说味道吗
- 母乳味喝惯了，这款味道会冲吗

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，喂养提问,"高意向潜客-喂养提问：

像第一次准备换奶或换段时，来评论区求一个大概流程或过来人经验。语气可以短一点、慌一点，别只围着“转奶”一个词打转，也别展开到具体比例和适应反应；问辅食和奶怎么安排时别压成“饭奶咋排”，也别问成后台判断、换奶病句或一口气替掉原来的奶，转奶流程只问按顿慢慢来或先从哪步开始。

示例：
- 第一次转奶，前两天主要看啥
- 转奶要不要一顿一顿加
- 你家几段还是转的，转的时候有反应吗
- 喝奶粉过程是怎么过渡的呀
- 从原来的奶粉换到源悦，一般先从哪一步开始
- 新手妈妈看转奶攻略看晕了，求个简单点的说法
- 准备换这款，想听听已经转过的宝妈怎么过渡
- 准备换这款，先买小罐够用吗
- 转奶这事是不是不能太急，大家都怎么过渡的
- 一岁后换三段，奶和饭怎么安排
- 刚满一岁还喝二段吗，求姐妹说说
- 换段那几天辅食要不要简单点
- 第一次换奶，想听个简单流程
- 三段和辅食怎么搭，过来人说说

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，喂养提问,"高意向潜客-喂养提问-换段搭配：

像正在做功课的家长，问换段、月龄、辅食和奶怎么安排这些喂养问题。别写成产品功效提问，也别写成已购反馈；问题别截成“第一次换奶、想问一下转三段的时候”这种半句话，也别写“饭奶咋排”，更别硬塞周岁蛋糕、生日这种固定生活桥段。

真人示例：
- 换三段时，辅食有啥要注意吗
- 二转三的时候，辅食有啥要注意的吗
- 12个月+宝宝还要喝二段奶粉吗
- 早产宝宝喝什么奶粉比较好
- 一岁后换三段的话，奶和饭怎么安排比较好
- 2段快喝完了，三段要提前囤吗
- 换段那几天辅食要不要先吃简单点
- 刚满一岁，早晚奶要怎么安排

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，喂养提问,"高意向潜客-喂养提问-转奶比例：

像妈妈在评论区问具体怎么掺、按勺还是按顿、从哪顿的一瓶里加一点。可以问得碎一点，像边看边记笔记；别问成一口气替掉原来的奶、整瓶直接替掉原来的，也别把问题拼成后台流程句。按顿要像慢慢来，换过去那款要说成“新的/这款”，不要压成缩略词。

示例：
- 转这款是先按勺加，还是按顿来呀
- 第一天只加一点新的行吗，怕肚肚闹
- 你们一般几天调一次比例
- 一瓶里先加点新的可以吗
- 原奶里加一点新的，也要慢慢过渡吗
- 混合喂一天一顿奶粉的话，要不要也慢慢转
- 原来那款还剩半罐，可以边喝边分几天加新的吗
- 已经转过的姐妹，按勺好操作吗

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法；不要只把示例删掉一两个字就输出。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
未购，喂养提问,"高意向潜客-喂养提问-观察反应：

像还没买、但想先问转奶期间怎么判断适不适应。可以问第一顿、前两三顿、喝几口、便便软硬、睡醒后闹不闹，少问具体怎么掺；问题里尽量带具体对象，别都写成泛泛的二选一模板，也别问成空泛反应题、纸尿裤固定桥段或后台口吻，转奶和头几顿要分开写完整，别压成怪词。

示例：
- 刚转那几天，臭臭软硬要记吗
- 前两三顿，奶量掉没掉要盯吗
- 刚转时嗯嗯要看次数还是软硬
- 刚换时喝少一点要不要等等
- 母乳为主的话，要不要更慢点
- 转奶期便便隔天一次正常吗
- 睡醒不闹，是不是就能继续转
- 第一顿喝少点，下一顿还照常吗

注意：示例只作为语义素材，不是正文原句，生成时换一种自然说法。“挺”可低频保留口语感，别刷屏；不要用“顺/稳”做评价收尾。",,
